Month,County,Sales,Year,Population,Sales per capita
2015-07-01,Boulder,4926814.0,2015,318570,15.4654047775999
2015-07-01,Clear Creek,558033.0,2015,9392,59.415779386712096
2015-07-01,Denver,19851838.0,2015,680658,29.165657349212086
2015-07-01,Eagle,745007.0,2015,53320,13.972374343585896
2015-07-01,Garfield,953213.0,2015,57779,16.49756832067014
2015-07-01,Gilpin,185927.0,2015,5824,31.924278846153847
2015-07-01,Grand,230218.0,2015,14602,15.766196411450487
2015-07-01,Gunnison,454862.0,2015,16097,28.25756352115301
2015-07-01,Jefferson,2891081.0,2015,564619,5.120410400641849
2015-07-01,La Plata,1529417.0,2015,54857,27.880070000182293
2015-07-01,Larimer,2714363.0,2015,332830,8.155403659525884
2015-07-01,Las Animas,1009958.0,2015,14061,71.82689709124529
2015-07-01,Montezuma,572832.0,2015,26129,21.923227065712428
2015-07-01,Park,235832.0,2015,16716,14.108159846853313
2015-07-01,Pitkin,850341.0,2015,17845,47.651499019333144
2015-07-01,Pueblo,1852589.0,2015,163196,11.35192651780681
2015-07-01,Routt,631836.0,2015,24310,25.990785684903333
2015-08-01,Adams,2007490.0,2015,489923,4.097562269989366
2015-08-01,Arapahoe,5068738.0,2015,629066,8.05756152772523
2015-08-01,Boulder,5076823.0,2015,318570,15.936287158238377
2015-08-01,Chaffee,529711.0,2015,18603,28.474493361285813
2015-08-01,Clear Creek,549270.0,2015,9392,58.482751277683136
2015-08-01,Denver,20586503.0,2015,680658,30.245002629808216
2015-08-01,Eagle,755726.0,2015,53320,14.173405851462865
2015-08-01,Garfield,919088.0,2015,57779,15.906955814396234
2015-08-01,Gilpin,209981.0,2015,5824,36.05442994505494
2015-08-01,Grand,234153.0,2015,14602,16.03568004382961
2015-08-01,Gunnison,454015.0,2015,16097,28.20494502081133
2015-08-01,Jefferson,3008160.0,2015,564619,5.327769699567319
2015-08-01,La Plata,1517581.0,2015,54857,27.664309021638076
2015-08-01,Larimer,2921981.0,2015,332830,8.779199591382989
2015-08-01,Las Animas,1043528.0,2015,14061,74.21435175307589
2015-08-01,Montezuma,602753.0,2015,26129,23.068353170806382
2015-08-01,Park,220562.0,2015,16716,13.194663795166308
2015-08-01,Pitkin,815391.0,2015,17845,45.692967217708045
2015-08-01,Pueblo,1894167.0,2015,163196,11.606699919115664
2015-08-01,Routt,649959.0,2015,24310,26.73628136569313
2015-09-01,Adams,2066128.0,2015,489923,4.217250465889538
2015-09-01,Arapahoe,5321883.0,2015,629066,8.459975582848223
2015-09-01,Boulder,4564394.0,2015,318570,14.327758420441347
2015-09-01,Chaffee,391518.0,2015,18603,21.0459603289792
2015-09-01,Clear Creek,490483.0,2015,9392,52.22348807495741
2015-09-01,Denver,19062651.0,2015,680658,28.00621016722054
2015-09-01,Eagle,632711.0,2015,53320,11.866297824456113
2015-09-01,Garfield,888159.0,2015,57779,15.371657522629329
2015-09-01,Gilpin,206010.0,2015,5824,35.37259615384615
2015-09-01,Grand,182101.0,2015,14602,12.470962881797014
2015-09-01,Gunnison,333527.0,2015,16097,20.719823569609243
2015-09-01,Jefferson,2859786.0,2015,564619,5.064983643837703
2015-09-01,La Plata,1596319.0,2015,54857,29.09964088448147
2015-09-01,Larimer,2735329.0,2015,332830,8.218396779136496
2015-09-01,Las Animas,1018744.0,2015,14061,72.45174596401394
2015-09-01,Montezuma,605971.0,2015,26129,23.191511347544875
2015-09-01,Ouray,342064.0,2015,4647,73.60964062836238
2015-09-01,Park,185916.0,2015,16716,11.122038765254846
2015-09-01,Pitkin,627987.0,2015,17845,35.191202017371815
2015-09-01,Pueblo,1721621.0,2015,163196,10.549406848207063
2015-09-01,Routt,576410.0,2015,24310,23.710818593171535
